nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI",,4
"Dinas Lingkungan Hidup","PENELAAH TEKNIS KEBIJAKAN",,4
"Dinas Perindustrian dan Perdagangan","PENELAAH TEKNIS KEBIJAKAN",,4
"Pelaksana Badan Penanggulangan Bencana Daerah","PENELAAH TEKNIS KEBIJAKAN",,4
"RSUD Srengat","Radiografer Terampil",,4
"RSUD Srengat","Bidan Penyelia",,4
"RSUD Srengat","Dokter Ahli Madya",,4
"Kecamatan Talun",Lurah,,4
"Kecamatan Wlingi",Lurah,,4
"Kecamatan Wlingi","PENGADMINISTRASI PERKANTORAN",,4
"Dinas Kesehatan","PENGELOLA LAYANAN KESEHATAN",,4
"Kecamatan Srengat","PENGADMINISTRASI PERKANTORAN",,4
"RSUD Ngudi Waluyo Wlingi","Nutrisionis Ahli Madya",,4
"Dinas Peternakan dan Perikanan","Pengelola Produksi Perikanan Tangkap Ahli Muda",,4
"Badan Pengelolaan Keuangan dan Aset Daerah","Analis Keuangan Pusat dan Daerah Ahli Muda",,4
"Kecamatan Selopuro","PENGADMINISTRASI PERKANTORAN",,4
"Kecamatan Nglegok","PENGADMINISTRASI PERKANTORAN",,4
"Dinas Kebudayaan Dan Pariwisata","PENGADMINISTRASI PERKANTORAN",,4
"Dinas Ketahanan Pangan dan Pertanian","Pengawas Mutu Hasil Pertanian Ahli Muda",,4
,"Guru Madya",,4
"Badan Pendapatan Daerah","PENGOLAH DATA DAN INFORMASI",,4
"Dinas Kependudukan dan Pencatatan Sipil","PENATA LAYANAN OPERASIONAL",,4
"SEKRETARIAT DAERAH","OPERATOR LAYANAN OPERASIONAL",,4
"RSUD Srengat","Perekam Medis Terampil",,4
"RSUD Ngudi Waluyo Wlingi","Bidan Terampil",,4
"Dinas Kebudayaan Dan Pariwisata","PENGELOLA UMUM OPERASIONAL",,4
"Dinas Pemberdayaan Masyarakat dan Desa","PENATA LAYANAN OPERASIONAL",,4
"Dinas Perhubungan","PENATA LAYANAN OPERASIONAL",,4
"RSUD Srengat","PENATA LAYANAN OPERASIONAL",,4
"RSUD Ngudi Waluyo Wlingi","Asisten Apoteker Terampil",,4
"Badan Pendapatan Daerah","PENATA LAYANAN OPERASIONAL",,4
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENATA LAYANAN OPERASIONAL",,4
"Dinas Peternakan dan Perikanan","OPERATOR LAYANAN OPERASIONAL",,4
"Dinas Kepemudaan Dan Olah Raga","OPERATOR LAYANAN OPERASIONAL",,4
"Dinas Ketahanan Pangan dan Pertanian","Penyuluh Pertanian Ahli Pertama",,4
"Kecamatan Srengat",Lurah,,3
"RSUD Ngudi Waluyo Wlingi","Nutrisionis Penyelia",,3
"RSUD Ngudi Waluyo Wlingi","Teknisi Elektromedis Penyelia",,3
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Polisi Pamong Praja Ahli Pertama",,3
Inspektorat,"PENELAAH TEKNIS KEBIJAKAN",,3
"Dinas Kesehatan","Terapis Gigi dan Mulut Terampil",,3
"Dinas Kepemudaan Dan Olah Raga","PENELAAH TEKNIS KEBIJAKAN",,3
"Dinas Kesehatan","PENGOLAH DATA DAN INFORMASI",,3
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Pranata Komputer Ahli Muda",,3
"Dinas Koperasi, Usaha Kecil dan Menengah","PENELAAH TEKNIS KEBIJAKAN",,3
"Kecamatan Kanigoro","PENGADMINISTRASI PERKANTORAN",,3
"Dinas Pendidikan","Pengawas Sekolah Ahli Utama",,3
,"Perawat Ahli Muda",,3
,"Bidan Mahir",,3
,"OPERATOR LAYANAN OPERASIONAL",,3
"RSUD Srengat","Nutrisionis Ahli Pertama",,3
"Dinas Pendidikan","PELAKSANA GURU",,3
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","PRANATA PASUKAN PENGAMANAN DALAM",,3
"Kecamatan Sutojayan","PENGADMINISTRASI PERKANTORAN",,3
"Kecamatan Garum",Lurah,,3
,"Perawat Terampil",,3
"Bagian Protokol dan Komunikasi Pimpinan","PENATA KEPROTOKOLAN",,3
,"Perawat Penyelia",,3
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Analis Kebijakan Ahli Muda",,3
"Dinas Koperasi, Usaha Kecil dan Menengah","Analis Kebijakan Ahli Muda",,3
"Dinas Lingkungan Hidup","PEMELIHARA TUMBUHAN",,3
"Dinas Pendidikan","Guru Pembina Tingkat. I",,3
"RSUD Srengat","Bidan Mahir",,3
"Kecamatan Sanankulon","PENGADMINISTRASI PERKANTORAN",,3
"RSUD Ngudi Waluyo Wlingi","Perawat Muda / Ahli Muda",,3
"Dinas Kebudayaan Dan Pariwisata","Adyatama Kepariwisataan dan Ekonomi Kreatif Ahli Muda",,3
"Sekretariat DPRD","Analis Kebijakan Ahli Muda",,3
"Dinas Kesehatan","PENGELOLA LAYANAN OPERASIONAL",,3
"RSUD Ngudi Waluyo Wlingi","Perekam Medis Penyelia",,3
"Dinas Lingkungan Hidup","Pengendali Dampak Lingkungan Ahli Muda",,3
"Kelurahan Tangkil","PENGADMINISTRASI PERKANTORAN",,3
"Dinas Kesehatan","Administrator Kesehatan Ahli Muda",,3
"Kecamatan Kademangan","PENGADMINISTRASI PERKANTORAN",,3
"Dinas Lingkungan Hidup","PENGADMINISTRASI PERKANTORAN",,3
"Kecamatan Gandusari","PENGADMINISTRASI PERKANTORAN",,3
